"V1" "V2" "V3"
"1" 198.092188156956 146.365485851127 1
"2" 194.708306941 146.856252131707 1
"3" 195.355214618529 147.115244424875 1
"4" 194.842166393289 146.907856072642 1
"5" 196.060781681621 146.80665138208 1
"6" 196.61980635923 145.723387145585 1
"7" 193.864671243834 146.848850526775 1
"8" 200.797526071751 147.280526122313 1
"9" 198.121502025978 147.269197393317 1
"10" 197.201640675775 146.922488261714 1
"11" 192.82319243323 147.429603049784 1
"12" 196.217925580071 147.05592022826 1
"13" 198.00288246021 147.229325110627 1
"14" 203.135523728981 146.247820403778 1
"15" 199.426853355935 146.864338567293 1
"16" 195.901336334739 147.053555035775 1
"17" 200.187205079285 146.211458982885 1
"18" 194.536144085612 146.959458430738 1
"19" 193.396323092132 147.746858135639 1
"20" 196.315442225428 146.902458678688 1
"21" 194.338744128641 146.890941133425 1
"22" 197.362208855129 146.375906530827 1
"23" 196.181179572518 147.186475858727 1
"24" 196.230606061453 146.993841909469 1
"25" 196.340090013337 146.514721678533 1
"26" 196.116407211205 146.764152918707 1
"27" 133.038435907248 149.921177052779 1
"28" 193.82887847327 146.505148460091 1
"29" 196.296137450825 146.571241464778 2
"30" 193.876492279756 146.90102594062 2
"31" 200.022547199746 146.172226037755 2
"32" 191.141402884282 146.96800414291 2
"33" 192.870871689538 147.144402208112 2
"34" 193.693925253819 146.930083758342 2
"35" 201.877956702826 146.746845320536 2
"36" 198.087122945133 146.329652504925 2
"37" 199.685705095797 146.474672225483 2
"38" 195.799324354109 145.976233248905 2
"39" 192.752338191353 146.742671394621 2
"40" 198.123451635377 147.480795059103 2
"41" 197.521223239738 146.475213431142 2
"42" 198.247367899495 146.359660685068 2
"43" 198.327028434853 147.106683214176 2
"44" 194.554148844026 147.024904755349 2
"45" 195.279273531025 145.853261845475 2
"46" 195.39253683739 147.193936094671 2
"47" 194.727471850148 146.812218750697 2
"48" 198.070445157292 147.460662652884 2
"49" 192.094422620456 146.951304304904 2
"50" 203.159956660315 146.351108034953 2
"51" 196.738345421597 146.385143671752 2
"52" 193.789831701887 146.866247876091 2
"53" 195.850467826801 146.719821573626 2
"54" 198.922198211003 146.032026758758 2
"55" 195.815459018979 147.091329120844 2
"56" 196.619119656965 147.01683920866 2
"57" 199.729883753831 147.147407391447 2
"58" 196.457841627607 147.191443437284 2
"59" 203.257672642184 145.899655050894 2
"60" 201.024192584655 146.969346690959 2
"61" 193.34759252306 147.624995283805 2
"62" 195.593837730745 147.124039725435 2
"63" 196.698100768974 146.971368459438 2
"64" 200.17172846561 147.170261995592 2
"65" 194.605638508891 146.618158222284 2
"66" 197.404075529605 146.180611132081 2
"67" 199.706918803542 146.89366801566 2
"68" 194.53043707251 147.13420204073 2
"69" 193.708412432852 147.304186668882 2
"70" 201.43961159758 146.208217863117 2
"71" 194.54831953175 146.644090566663 2
"72" 199.170331622698 146.808346339983 2
"73" 195.071441366459 147.332241115379 2
"74" 195.917841495863 147.309362427917 2
"75" 199.212571879924 147.12199265842 2
"76" 197.912800766504 147.419175522317 2
"77" 197.393133305593 146.324078211801 2
"78" 196.56278643019 145.762130560628 2
"79" 195.381795494031 146.782496958139 2
"80" 196.403221513504 146.854807293599 2
"81" 199.262747413838 146.534105246098 2
"82" 195.526815900463 147.126649796932 2
"83" 194.895538058968 146.71924350569 2
"84" 200.724881653098 146.745950690263 2
"85" 193.950571661494 146.408831783018 2
"86" 200.808675509258 146.502278021414 2
"87" 193.207804946953 146.830310682639 2
"88" 195.911433822501 146.473290075391 2
"89" 195.149423830241 147.055424156887 2
"90" 196.921776635934 146.14229469691 2
"91" 200.803648967429 147.200949409803 2
"92" 197.94241041333 146.655435595366 2
"93" 203.174892269824 146.344409748665 2
"94" 194.979019942115 146.450076393298 2
"95" 198.374729193406 147.040811021495 2
"96" 194.404360941361 146.77225491115 2
"97" 198.741855508701 146.085049963259 2
"98" 193.937064553458 146.360441474597 2
"99" 202.595928479904 146.705601949933 2
"100" 196.220550113227 146.951035054671 2
"101" 201.33397107276 146.389879850705 2
"102" 200.153829319994 146.480852791362 2
"103" 203.039494746797 146.183128518234 2
"104" 192.824075715501 146.862325353005 2
"105" 197.427587445354 147.166627333952 2
"106" 200.322479549501 145.994691819698 2
"107" 196.644098664209 147.14801115127 2
"108" 196.459520668004 146.600773419491 2
"109" 194.016561646989 147.05066829213 2
"110" 200.490991556584 146.529900307485 2
"111" 197.908572095459 147.190221672881 2
"112" 193.452030795392 146.509789776886 2
"113" 202.911123940188 146.101326147823 2
"114" 199.262912620651 146.932481537123 2
"115" 194.290322372411 147.056462850991 2
"116" 196.659296802772 146.611020408023 2
"117" 198.126614599145 147.417540391398 2
"118" 198.161154770122 146.785319902246 2
"119" 191.77375111982 146.78310485456 2
"120" 201.382501750067 147.06764022255 2
"121" 196.982500771154 145.941029980832 2
"122" 197.260710471844 146.905039226974 2
