"V1" "V2" "V3"
"1" 197.201640675775 146.922488261714 2
"2" 196.230606061453 146.993841909469 2
"3" 196.340090013337 146.514721678533 2
"4" 195.799324354109 145.976233248905 3
"5" 203.159956660315 146.351108034953 3
"6" 196.619119656965 147.01683920866 3
"7" 194.605638508891 146.618158222284 3
"8" 194.54831953175 146.644090566663 3
"9" 197.393133305593 146.324078211801 3
"10" 195.149423830241 147.055424156887 3
"11" 193.937064553458 146.360441474597 3
"12" 200.153829319994 146.480852791362 3
"13" 192.824075715501 146.862325353005 3
"14" 194.496473284208 146.308965134806 3
"15" 131.681901329952 149.837527642681 3
"16" 132.920544080025 150.018463385451 3
"17" 136.21150555541 151.56046536339 3
"18" 130.996159695674 130.977661968434 3
"19" 194.0780347898 146.417364411657 4
"20" 191.896570483749 146.313947524117 4
"21" 197.51508575793 146.972581437072 4
"22" 203.432426241316 147.469979587441 4
"23" 200.698886122026 146.74769091247 4
"24" 197.849395053451 147.452242268964 4
"25" 195.475789903346 146.351654826361 4
"26" 194.662013824064 147.236473930065 4
"27" 201.206812623123 147.036552877058 4
"28" 199.304175753003 146.802503553918 4
"29" 194.024578508092 146.470117897832 4
"30" 200.670541512469 146.763842721728 4
"31" 193.43227030524 146.442578665825 4
"32" 131.875711803911 149.176886458973 4
"33" 133.415509201552 150.023710210208 4
"34" 134.61975683869 150.35087793938 4
"35" 135.839257123439 149.201970084076 4
"36" 136.204532199074 150.028975608615 4
"37" 133.549310108226 150.01308270693 4
"38" 134.760155096504 150.016979576874 4
"39" 136.376504584095 150.001381112468 4
"40" 130.964653434233 131.407954593967 4
"41" 130.962525134272 131.403072079106 4
"42" 113.82872740213 165.847195493233 5
"43" 113.992002174207 166.472977331283 5
"44" 202.139198198528 146.374474396293 5
"45" 192.04064866378 146.663453170249 5
"46" 192.073284338153 146.616235196591 5
"47" 203.125093618099 146.857314485932 5
"48" 191.909182442774 146.423429765753 5
"49" 203.889178902044 146.44405312875 5
"50" 199.228735381129 147.406697345682 5
"51" 192.20521094966 147.130140679646 5
"52" 131.727505136929 150.344454589897 5
