"V1" "V2" "V3"
"1" 102.011984975966 117.383582481642 1
"2" 102.372435919451 115.471368899992 1
"3" 102.213207694001 115.050411177783 1
"4" 101.866830099802 117.628886347191 1
"5" 104.666152543662 108.655184155556 1
"6" 102.212197276931 115.618074514113 1
"7" 102.684298299825 109.550079835625 1
"8" 105.663120370344 108.203440536571 1
"9" 103.510588241126 114.178484444397 1
"10" 103.144315969451 116.922986517034 1
"11" 104.598510271103 118.841341466135 1
"12" 102.925853961938 120.794390873213 1
"13" 108.722834631458 116.356852969617 1
"14" 103.2190379796 115.237635340825 1
"15" 107.056964266787 113.756631697673 1
"16" 96.3681355506193 107.786714302314 1
"17" 104.3981814258 112.178750948409 2
"18" 103.520651154694 114.324786093057 2
"19" 103.645056768475 116.739363860803 2
"20" 105.690208641133 106.552947144389 2
"21" 107.312406365481 112.127285691025 2
"22" 103.315139418749 116.768004369747 2
"23" 103.206202619696 115.022738636142 2
"24" 104.695750842682 116.108943579952 2
"25" 103.858953844672 122.598166811638 2
"26" 103.006803461778 113.368787518544 2
"27" 105.825035810054 109.170571322401 2
"28" 102.521294547688 116.767064789512 2
"29" 104.113159098555 118.580442973295 2
"30" 101.393365338698 114.974683240142 2
"31" 103.868288844318 118.772748079005 2
"32" 103.470910100126 111.858279105522 2
"33" 103.610287633005 109.168542110885 2
"34" 102.874903829442 109.022057840112 2
"35" 104.819457196491 118.618637723009 2
"36" 108.134656759076 117.515538350342 2
"37" 103.144530843988 109.708498788516 2
"38" 103.209994278047 110.24791909619 2
"39" 102.150553093726 114.743118217752 2
"40" 102.330957783448 114.553340250169 2
"41" 103.598322312279 120.449361649241 2
"42" 102.834855801787 114.477422602805 2
"43" 104.507918489166 120.050809795616 2
"44" 100.767303018389 112.253384180673 2
"45" 106.804355210244 114.399966421194 2
"46" 103.442204818483 108.080572665766 2
"47" 100.299325945534 119.573265668783 2
"48" 107.486858320416 113.063757740046 2
"49" 101.815866017227 117.284030162768 2
"50" 103.890708281557 106.878637021355 2
"51" 100.659205596188 108.151508311121 2
"52" 105.009081503525 113.414494648816 2
