1 6595 1690	6598 1690
17 7418 1856	7421 1856
33 9187 2058	9065 2058
49 13693 2527	11935 2527
65 16369 3985	15656 3985
81 25630 5889	21111 5889
97 36531 7132	30479 7132
113 47572 8414	36110 8414
129 58452 9993	42409 9993
145 67437 11418	48946 11418
161 81495 13327	56329 13327
177 94275 15079	63886 15079
193 108312 17203	72168 17203
209 122976 19353	80892 19353
225 139143 21633	90129 21633
241 155565 23880	101128 23880
257 183512 26398	119430 26398
273 207433 29028	137824 29028
289 231078 31801	149994 31801
305 251562 34568	162609 34568
321 275854 37678	175824 37678
337 299750 40861	189560 40861
353 324457 44064	203638 44064
369 350388 47462	218366 47462
385 379372 51107	235839 51107
401 417826 54561	261793 54561
417 447220 58506	278586 58506
433 477587 62423	295762 62423
449 508692 66468	313400 66468
465 541272 70641	331587 70641
481 574647 74944	350246 74944
497 609063 79456	369483 79456
513 644707 84467	390168 84467
529 680704 88701	409272 88701
545 718086 93603	429997 93603
561 756393 98526	451106 98526
577 796078 103745	472867 103745
593 836015 108812	494900 108812
609 881016 114244	521271 114244
625 939248 119615	560462 119615
641 983448 125240	584558 125240
657 1028116 131009	609335 131009
673 1073827 136845	634459 136845
689 1120400 142750	660003 142750
705 1168105 149035	686272 149035
721 1217112 155261	712920 155261
737 1270947 161555	744356 161555
753 1341279 167923	791335 167923
769 1393287 174813	819935 174813
785 1446864 181441	849227 181441
801 1501348 188322	878847 188322
817 1556290 195257	908911 195259
833 1612349 202518	939528 202520
849 1669845 209810	970735 209812
865 1727995 217311	1002447 217311
881 1787143 224782	1034519 224782
897 1847317 232587	1067071 232587
913 1908858 240284	1100303 240284
929 1970846 248253	1133899 248253
945 2034094 256384	1168083 256384
961 2098188 264523	1202567 264523
977 2163508 272888	1237829 272888
993 2229682 281321	1273384 281321
1009 2297100 289903	1309750 289904
1025 2372168 300089	1354169 300090
1041 2469259 307239	1418265 307240
1057 2552507 316176	1468952 316177
1073 2644407 328302	1527766 328303
1089 2734899 354643	1584718 354644
1105 2835436 378065	1652218 378066
1121 2969268 388031	1751322 388032
1137 3046415 398011	1793669 398012
1153 3125511 408479	1836965 408480
1169 3205000 418621	1880372 418622
1185 3285855 429310	1924751 429311
1201 3367104 439843	1969196 439844
1217 3450181 450820	2014501 450821
1233 3533369 461539	2059891 461540
1249 3617662 472630	2106072 472631
1265 3711151 483732	2160161 483733
1281 3838251 495028	2247485 495029
1297 3959563 505940	2329089 505941
1313 4049471 517531	2378165 517532
1329 4139827 529207	2427865 529208
1345 4231452 540943	2477648 540944
1361 4324101 553021	2528617 553022
1377 4417092 564978	2579428 564979
1393 4511809 577153	2631197 577154
1409 4614714 589567	2691296 589568
1425 4749231 601648	2780785 601649
1441 4846762 614256	2834164 614257
1457 4946066 627093	2888517 627094
1473 5045027 639804	2942731 639805
1489 5147020 652793	2998059 652794
1505 5248987 665886	3053503 665887
1521 5352082 679153	3109659 679154
1537 5457275 694109	3169465 694110
1553 5560918 705857	3223075 705858
1569 5667057 719652	3280797 719653
1585 5773972 733289	3338707 733290
1601 5882942 747360	3397481 747361
1617 5990943 761151	3456298 761152
1633 6110690 775307	3525655 775308
1649 6263510 789259	3627883 789260
1665 6377345 803923	3689086 803924
1681 6489924 818147	3750479 818148
1697 6604490 832919	3812713 832920
1713 6719533 847618	3875176 847619
1729 6835600 862658	3938287 862659
1745 6953491 877604	4001772 877605
1761 7081900 892759	4076277 892760
1777 7247469 907728	4186446 907729
1793 7367601 923512	4251650 923513
1809 7490269 938697	4318017 938698
1825 7613771 954442	4384592 954443
1841 7737199 970206	4451651 970207
1857 7861691 986315	4519150 986316
1873 7988183 1002365	4587337 1002366
1889 8114718 1018619	4655885 1018620
1905 8242542 1034830	4724872 1034831
1921 8371305 1051524	4794222 1051525
1937 8501956 1067941	4864532 1067942
1953 8632387 1084747	4935036 1084748
1969 8764358 1101669	5006167 1101670
1985 8897042 1118605	5077465 1118606
2001 9031122 1135725	5149711 1135726
2017 9166017 1152996	5222196 1152997
2033 9301964 1170447	5295315 1170448
2049 9452563 1190931	5384434 1190932
