"V1" "V2" "V3"
"1" 111.477338808617 121.473822079333 1
"2" 108.934137033044 110.297115684124 2
"3" 106.619084789632 121.619373380473 2
"4" 110.137287753241 118.490864367299 2
"5" 105.673019164663 122.208059193855 2
"6" 109.416108119706 115.8967869297 2
"7" 114.12144339857 116.355738254976 2
"8" 110.061130431741 111.33255274985 3
"9" 108.576765163855 120.446937617152 3
"10" 108.80260555559 118.421003664799 3
"11" 109.464905830684 115.903544823747 3
"12" 110.211761642863 115.248031075316 3
"13" 112.717788339474 116.614860050951 3
"14" 111.006801070155 120.346182600492 3
"15" 112.071362152467 119.698351935704 3
"16" 111.912512048263 120.23951930655 3
"17" 107.035099133163 120.992762611291 3
"18" 109.806590814935 118.221938125195 3
"19" 110.944295093368 120.523687655031 3
"20" 110.352127882478 118.162694457496 3
"21" 110.877080326369 109.976906609321 3
"22" 103.609032937103 115.128949722734 4
"23" 110.028751236967 114.861733835515 4
"24" 108.566578001508 117.257524959834 4
"25" 111.205578303108 119.254546799734 4
"26" 107.733874822144 116.93345029247 4
"27" 110.846777762714 120.901385566792 4
"28" 110.968764404727 116.71604958385 4
"29" 109.707712086899 118.67323711776 4
"30" 110.803107363515 115.684265799221 4
"31" 107.088080004834 114.95162345198 4
"32" 110.750072899702 116.516116981679 4
"33" 110.15216730712 117.609571220736 4
"34" 106.935072474137 122.455828470042 4
"35" 103.993517583796 117.534611189983 4
"36" 110.339216164026 118.323392662226 4
"37" 109.934803739 111.688217741354 4
"38" 110.248583006152 115.461370010642 4
"39" 107.923530850019 114.462056633186 4
"40" 110.826906281914 120.448477114159 4
"41" 109.524542853297 111.962194726515 4
"42" 110.926795101682 110.154432243657 4
"43" 107.644089571054 115.551201791987 4
"44" 109.510425521332 118.563227710836 4
"45" 105.896621390781 114.551066727926 4
"46" 110.789308030613 115.459104344079 4
"47" 110.603386805089 112.984224647369 4
"48" 107.897046320558 119.749198742288 4
"49" 106.52977493229 121.067903840479 4
"50" 111.214020699397 114.961010229504 4
"51" 109.036309536799 113.322603079416 4
"52" 109.7495790489 117.240858266784 4
"53" 105.450471943898 115.390123038925 4
"54" 107.407807482162 117.368540427134 4
"55" 105.274838813779 120.111664642082 5
"56" 112.214236396166 115.594933028186 5
"57" 107.509145462225 117.210866304045 5
"58" 109.96725206852 112.107217102157 5
"59" 107.757492168628 115.754564520559 5
"60" 110.586022195613 115.501295545959 5
"61" 109.507506128153 115.153027778484 5
"62" 109.070636647491 118.540174711546 5
"63" 109.609244629086 118.309618849991 5
"64" 110.60096760403 109.387991778165 5
"65" 109.018967012664 114.34304743564 5
"66" 110.333162220499 112.737948502039 5
"67" 104.735305084913 117.092673102566 5
"68" 105.844830458625 121.240566187057 5
"69" 113.078295733715 115.994076161901 5
"70" 107.845734460816 116.979809252639 5
"71" 113.315504777271 114.682260512082 5
"72" 108.892649684374 111.743100992707 5
"73" 110.625349195642 111.800479799864 5
"74" 110.710177750829 116.173789359639 5
"75" 111.069213952762 119.440179143728 5
"76" 110.992804401341 114.466655014369 5
"77" 110.033904602945 114.737107553207 5
"78" 108.507899045307 114.803816828159 5
"79" 110.077832261899 121.879269530894 5
"80" 106.086550801074 121.286529774044 5
"81" 105.733615500764 114.360105635089 5
"82" 105.625983445492 115.154834140349 5
"83" 111.016896292336 116.512528240778 5
"84" 110.188112163252 113.13767200841 5
"85" 109.140485780657 112.01753129095 5
"86" 107.99870489736 113.530310958026 5
"87" 109.865832327883 111.681959115865 5
"88" 109.997718989482 116.775988893837 5
"89" 103.858737323461 114.249556741461 5
"90" 105.416675687417 115.535678253921 5
"91" 105.478943292734 115.167668737164 5
"92" 108.897978153397 113.559388759492 5
