"V1" "V2" "V3" "V4" "V5"
"1" 154.781299737347 68.0399071275618 1 1 6
"2" 146.452564472757 69.2771231731471 1 2 6
"3" 153.966522269745 69.6649990531212 2 3 11
"4" 152.618894357298 68.6467660387007 1 4 7
"5" 157.649709428637 68.1073248242271 2 5 5
"6" 156.27534458942 68.9501956109673 2 6 9
"7" 145.493802145734 68.5955000693098 2 7 6
"8" 157.71389395238 68.54877311834 1 8 6
"9" 151.725020982831 68.4116052487724 1 9 7
"10" 155.877230592763 69.7318554371958 1 10 7
"11" 145.583314705307 68.5294753118014 2 11 7
"12" 147.478985896168 67.771213490904 2 12 6
"13" 148.493042253794 68.7710852427262 2 13 6
"14" 150.615575872429 69.676406504036 2 14 20
"15" 153.210704455691 68.6574201056734 1 15 8
"16" 153.034941354561 68.4861355047542 2 16 8
"17" 147.183204922275 69.0127707731261 1 17 5
"18" 148.202900626001 68.8224676301576 1 18 10
"19" 158.057263845909 69.0146542007719 2 19 6
"20" 158.525307068192 68.4236996316925 2 20 9
"21" 156.079858267753 68.8478077314228 2 21 6
"22" 159.040603968349 68.65164123848 2 22 10
"23" 149.341325741261 68.0396534195266 1 23 5
"24" 148.545396034588 68.3141803865028 1 24 8
"25" 147.794691924173 68.8281332653822 1 25 8
"26" 148.478132055974 68.1188127198296 2 26 8
"27" 152.99137590774 68.2055360820879 1 27 7
"28" 147.497760721485 68.9094466174171 1 28 3
"29" 158.011440428082 67.913029788109 2 29 7
"30" 165.964346595932 69.1878521874641 2 30 13
"31" 154.57333423512 68.1663443475149 1 31 6
"32" 149.801369132794 69.8792153362887 1 32 15
"33" 144.525237740578 68.2719943478877 2 33 9
"34" 157.500300290208 68.9687430352403 2 34 7
"35" 154.723310155767 67.956756708206 2 35 7
"36" 150.113365490989 68.8520592158308 1 36 5
"37" 154.506058385463 68.5148360836047 2 37 6
"38" 149.470109130628 68.1799530086588 1 38 4
"39" 149.783088042987 67.8159959965092 1 39 5
"40" 155.398281095518 68.6484984077852 2 40 8
"41" 150.555735512106 68.6610466962483 2 41 7
"42" 144.883264910281 69.1874316174051 1 42 14
"43" 155.328384579242 68.334313498098 2 43 6
"44" 145.442917117358 68.2082915380288 1 44 8
"45" 152.731765166014 68.9594555057641 1 45 11
"46" 167.45606924932 68.3124976340765 2 46 21
"47" 147.733659274813 68.1902505349566 1 47 6
"48" 151.943374059056 68.3833572188145 2 48 9
"49" 152.145544432819 68.9094415540685 1 49 7
"50" 159.382270180402 67.9719654287096 2 50 11
"51" 149.370262819765 67.8845252871393 2 51 6
"52" 150.210268529603 69.1231361942353 2 52 5
"53" 156.706945742814 68.6574136558035 2 53 6
"54" 149.568620227519 68.5341867021455 1 54 6
"55" 151.199547876639 68.0361465230522 2 55 8
"56" 161.348041866866 68.6740550848183 1 56 10
"57" 157.672744199232 69.3428316349599 1 57 6
"58" 152.715145261704 69.0295538081935 2 58 10
"59" 144.79051004568 68.44027131366 2 59 7
"60" 149.855217092518 68.7815437694337 1 60 6
"61" 151.493559672415 68.0347632112963 2 61 7
"62" 158.103881384052 68.0018411027098 1 62 6
"63" 144.621656720136 68.8390433251904 1 63 9
"64" 147.339762357809 68.7448927818193 2 64 5
"65" 151.465009110301 68.8157016281667 1 65 5
"66" 149.692647425492 69.0144666661555 2 66 9
"67" 151.61207726936 68.9794074969652 2 67 6
"68" 155.099943699403 67.5129492140344 2 68 10
"69" 148.165154105934 68.227790471407 1 69 6
"70" 151.064510773539 67.3647263937129 2 70 17
"71" 162.026975818644 68.6897502584251 2 71 10
"72" 143.154713828262 68.9340990398406 1 72 6
"73" 158.040994791554 68.6064036865595 1 73 5
"74" 154.072114017172 68.0482624885764 2 74 7
"75" 156.124743551209 69.2958122276622 2 75 10
"76" 155.546137311186 67.7058334677684 2 76 9
"77" 145.939036205393 68.783518375977 2 77 6
"78" 159.311763192987 68.9980360291396 2 78 9
"79" 156.108701375128 68.4365675004266 1 79 9
"80" 145.117050760771 68.8893344780346 1 80 9
"81" 153.379887912314 68.3548870239963 2 81 7
"82" 157.004449970741 68.2786887235031 2 82 6
"83" 145.679897158767 69.5246155165406 2 83 5
"84" 150.581689335814 68.1255780174944 1 84 10
"85" 147.447458793926 67.9896515354455 2 85 9
"86" 157.394061478709 67.7721846898242 1 86 7
"87" 151.474976924126 68.1187874333829 1 87 6
"88" 151.459293431779 67.4835461081112 1 88 8
"89" 149.79631451834 68.3112054315986 2 89 6
"90" 155.73775967394 68.3586678836791 2 90 10
"91" 148.29189872762 67.8379475539229 2 91 8
"92" 149.573269006011 68.1587801956607 1 92 5
"93" 163.160584919655 67.5532127146492 2 93 14
"94" 150.131283043958 68.038166973467 1 94 6
"95" 152.031652121852 69.2866279711057 2 95 6
"96" 147.917249700362 68.2397087711843 2 96 6
"97" 144.311250034823 69.1086533033867 1 97 7
"98" 151.418588467507 69.5523614113398 2 98 9
"99" 158.172652481734 68.8609671873358 1 99 6
"100" 152.148192597344 68.5658699017497 1 100 7
"101" 153.552559301099 67.8191221470024 1 101 11
"102" 146.908069068166 69.2910091841425 1 102 5
"103" 153.253394782396 68.1553931039944 2 103 5
"104" 147.198257932999 69.117436823218 2 104 5
"105" 145.527244967702 69.5710906044645 2 105 5
"106" 156.490794702026 69.1137283499532 2 106 7
"107" 160.870983509488 68.4113834018458 2 107 11
"108" 150.448610101399 67.4321792121779 1 108 14
"109" 154.327715541446 68.7875899609299 2 109 7
"110" 160.367527197905 67.9632502809303 1 110 10
"111" 152.306379372747 68.6533631714409 2 111 6
"112" 141.981984942224 69.0270081965945 1 112 18
"113" 151.429459798058 68.6933833425435 1 113 7
"114" 148.214606890396 68.7260590434915 1 114 10
"115" 153.411176730399 68.2310773191737 2 115 7
"116" 148.881201951508 68.1212904116772 2 116 7
"117" 149.188501915832 68.9232120669133 2 117 6
"118" 158.158122066256 69.5338099672189 2 118 8
"119" 150.580333403836 68.9799673857462 1 119 5
"120" 152.76659484133 68.2272548067486 1 120 8
"121" 150.51841806151 68.8090254218722 2 121 6
"122" 146.536401990083 68.7349948256987 2 122 9
"123" 154.380085626929 68.0778209291006 1 123 10
"124" 156.909838661614 68.8169815724252 2 124 5
"125" 153.484008675407 68.5327612251764 1 125 7
"126" 153.365636521942 68.3794382124041 1 126 8
"127" 147.880523211752 68.0533624034828 1 127 5
"128" 149.560513331222 69.2848991543211 2 128 8
"129" 146.200089519467 68.2419182859613 1 129 8
"130" 151.277580324721 67.4859916154963 1 130 9
"131" 156.845194155531 68.6503603079909 2 131 5
"132" 155.707999738764 67.4225892483003 1 132 10
"133" 155.571203591319 67.9304624467005 2 133 8
"134" 157.261561443488 67.8635888523303 2 134 6
"135" 151.914231792018 68.9485179856604 1 135 6
"136" 150.966497324159 68.7126400590258 2 136 8
"137" 143.400961269169 69.5391585722892 1 137 8
"138" 151.539779708303 69.4150702435057 2 138 14
"139" 158.2448232561 68.6572870286834 2 139 7
"140" 148.812413796091 68.2309882574318 1 140 6
"141" 153.868553458257 68.4559253209053 2 141 5
"142" 156.253282478592 68.8030937554126 1 142 6
"143" 157.575803402435 68.2895142233374 2 143 6
"144" 144.948695542894 69.5131600832687 1 144 6
"145" 149.854204319301 68.4012785880609 1 145 5
"146" 150.955245018928 68.425791685132 2 146 7
"147" 146.84331009846 68.1749499399849 1 147 5
"148" 147.289987756016 68.9662509551509 2 148 4
"149" 159.428410864273 68.587829823916 2 149 10
"150" 144.876349021796 68.542366919856 2 150 6
"151" 152.810090876143 69.3170810333353 2 151 9
"152" 150.119762950803 69.1844127230709 2 152 5
"153" 159.477220492885 68.2009136666352 1 153 10
"154" 156.722301437938 68.5721666483729 1 154 5
"155" 154.914880630251 68.3461788334878 1 155 9
"156" 147.444455740078 68.1009301482461 1 156 8
"157" 153.059617136128 68.9146589023068 2 157 7
"158" 147.858618184084 69.4230860091768 1 158 33
"159" 160.127296375949 69.2312991940225 2 159 9
"160" 144.819014696596 68.7668830612449 1 160 6
"161" 159.126312825512 68.3867402298352 1 161 19
"162" 159.112990228346 68.3233766775177 2 162 18
"163" 151.342819409777 68.6862985015765 2 163 8
"164" 137.923437511456 68.8684550703952 0 164 0
"165" 154.949045886214 69.2263180488116 1 165 6
"166" 148.190537788127 69.1996167032995 2 166 11
"167" 148.11153956425 67.784330047403 1 167 7
"168" 153.271926449592 68.8605278199989 2 168 9
"169" 158.102513169627 68.3646194320286 1 169 8
"170" 156.267751408834 68.7098650356505 2 170 5
"171" 158.865539202846 68.6033259964283 1 171 11
"172" 138.872177188293 68.9145216182256 0 172 0
"173" 149.738654818948 69.284294118605 1 173 6
"174" 157.554655195861 69.6763491555671 1 174 8
"175" 153.677563830984 68.9618507216043 2 175 8
"176" 153.539956779741 68.0002034278802 1 176 8
"177" 156.202166126304 68.4410966932292 1 177 8
"178" 157.848355265333 68.8233613682013 2 178 6
"179" 151.069870068652 69.2612111339084 2 179 8
"180" 140.864887853724 68.5125430798011 2 180 29
"181" 154.467652763859 68.7105210454605 2 181 6
"182" 155.413724868681 68.4127987039332 1 182 7
"183" 150.925606108862 69.6232041329299 2 183 12
"184" 156.357949005104 67.8090635407894 2 184 11
"185" 152.992518016576 69.0341379691816 2 185 8
"186" 149.836739327663 68.6981756882612 1 186 7
"187" 152.054489988046 69.2522979243938 1 187 7
"188" 151.117044727457 68.4809266811596 2 188 6
"189" 153.04520151567 68.3751901700857 1 189 7
"190" 156.774404280166 68.9022215222282 1 190 5
"191" 146.832363003852 68.8794386371042 1 191 6
"192" 148.31171316226 68.1576848008288 2 192 7
"193" 150.012226440782 67.9447995262436 2 193 7
"194" 146.275909145852 68.2086336279917 1 194 7
"195" 141.612095609512 68.6594721283073 1 195 15
"196" 151.048148259547 68.9958692570677 2 196 7
"197" 146.566614664226 69.763611985775 1 197 7
"198" 146.097603956486 67.7813449791 2 198 13
"199" 159.49359158179 68.2714058427823 1 199 9
"200" 151.86127536407 68.1627580658303 1 200 7
"201" 154.065278529921 69.3550083591074 2 201 26
"202" 157.252474484362 69.0356976151007 1 202 6
"203" 155.73516960875 69.0892330412649 1 203 16
"204" 150.447792409987 68.0007668011842 1 204 8
"205" 147.619505357005 68.186861619554 1 205 5
"206" 158.216061031183 68.9197812896256 1 206 7
"207" 155.058779675656 68.9804461982939 2 207 6
"208" 155.247902749139 69.0696532537577 1 208 4
"209" 152.598866910144 67.8438168038655 2 209 6
"210" 150.083732694238 69.1358679762205 2 210 4
"211" 147.695892481438 68.4592606599188 2 211 5
