"V1" "V2" "V3"
"1" 411.776356043433 875.05757471424 1
"2" 416.444458121102 876.177219360426 2
"3" 410.572734016107 872.091560023792 2
"4" 413.39768159604 874.057830805313 2
"5" 416.145976481817 876.11396260972 2
"6" 415.016125474471 867.92129996497 2
"7" 406.903067512662 877.360263094106 2
"8" 415.46862051721 878.016377320381 2
"9" 411.694664905407 875.11546027698 2
"10" 408.144922401202 869.87641652957 2
"11" 228.769479562136 899.132734029715 2
"12" 410.656451462797 862.064385528949 3
"13" 407.900833465911 866.564428511967 3
"14" 414.739665947206 875.609771306114 3
"15" 409.546325754364 865.574206238325 3
"16" 412.246568164794 874.808297676017 3
"17" 417.755324128044 878.000306169042 3
"18" 415.829996647299 882.117797677325 3
"19" 410.801276621316 871.966444367741 3
"20" 414.967507647566 876.16522695766 3
"21" 407.612134243099 880.080989682335 3
"22" 416.440126529299 876.239119268672 3
"23" 415.565849861987 868.083293999579 3
"24" 408.251725747819 868.792338338883 3
"25" 414.624468822634 880.355807726654 3
"26" 414.342273763017 874.961168393168 3
"27" 408.24219869836 862.329550866119 3
"28" 411.459215400446 875.836286906507 3
"29" 407.542694200443 878.567435430331 3
"30" 415.294767059407 875.730965319336 3
"31" 414.23466940758 867.018971654126 3
"32" 411.271765206823 873.717386303356 3
"33" 408.919992695044 875.707230038851 3
"34" 416.620455515505 876.365722085297 3
"35" 411.894951073203 877.710643103645 3
"36" 407.096782541119 874.393401733864 3
"37" 411.542398310538 874.976183538051 3
"38" 412.202699729571 871.034706839473 3
"39" 408.493684988906 869.988577825316 3
"40" 408.317873299052 870.165115386229 3
"41" 408.546949144403 875.708626928039 3
"42" 414.945606828802 876.167188822161 3
"43" 413.404688587592 874.038098517136 3
"44" 407.040564552655 866.221870400257 3
"45" 410.78305775429 872.466108206414 3
"46" 407.204714160367 870.453858461567 3
"47" 408.854527876905 878.696289707268 3
"48" 407.369287276516 871.772466698185 3
"49" 406.238481674538 875.516967406924 3
"50" 403.950652057924 884.776870326137 3
"51" 406.589009043745 877.208781324851 3
"52" 411.601189741497 874.408366609348 3
"53" 415.77235820944 879.374555547096 3
"54" 405.190047003532 866.352648558017 3
"55" 406.995286019864 866.214696207098 3
"56" 408.929726672006 884.878156038836 3
"57" 415.780216998454 878.221584403252 3
"58" 232.438591390191 895.708613186595 3
"59" 232.539410936259 904.157348095255 3
"60" 229.917617581074 896.773371718773 3
