[1] "distancias entre individuos calculadas"
[1] "epoca 1 de 50"
[1] "epoca 2 de 50"
[1] "epoca 3 de 50"
[1] "epoca 4 de 50"
[1] "epoca 5 de 50"
[1] "epoca 6 de 50"
[1] "epoca 7 de 50"
[1] "epoca 8 de 50"
[1] "epoca 9 de 50"
[1] "epoca 10 de 50"
[1] "epoca 11 de 50"
[1] "epoca 12 de 50"
[1] "epoca 13 de 50"
[1] "epoca 14 de 50"
[1] "epoca 15 de 50"
[1] "epoca 16 de 50"
[1] "epoca 17 de 50"
[1] "epoca 18 de 50"
[1] "epoca 19 de 50"
[1] "epoca 20 de 50"
[1] "epoca 21 de 50"
[1] "epoca 22 de 50"
[1] "epoca 23 de 50"
[1] "epoca 24 de 50"
[1] "epoca 25 de 50"
[1] "epoca 26 de 50"
[1] "epoca 27 de 50"
[1] "epoca 28 de 50"
[1] "epoca 29 de 50"
[1] "epoca 30 de 50"
[1] "epoca 31 de 50"
[1] "epoca 32 de 50"
[1] "epoca 33 de 50"
[1] "epoca 34 de 50"
[1] "epoca 35 de 50"
[1] "epoca 36 de 50"
[1] "epoca 37 de 50"
[1] "epoca 38 de 50"
[1] "epoca 39 de 50"
[1] "epoca 40 de 50"
[1] "epoca 41 de 50"
[1] "epoca 42 de 50"
[1] "epoca 43 de 50"
[1] "epoca 44 de 50"
[1] "epoca 45 de 50"
[1] "epoca 46 de 50"
[1] "epoca 47 de 50"
[1] "epoca 48 de 50"
[1] "epoca 49 de 50"
[1] "epoca 50 de 50"
[1] "evolTmp"
                  [,1]      [,2] [,3]  [,4] [,5]
    [1,]  26.834971875 306.71043    2     1    5
    [2,]  24.828027879 307.05182    2     2    4
    [3,]  30.647520350 306.84852    2     3    3
    [4,]  34.723262959 306.86009    2     4    9
    [5,]  25.774811590 306.81866    2     5    5
    [6,]  33.260421117 307.06634    2     6    2
    [7,]  24.028342950 307.17293    2     7    6
    [8,]  26.951988572 307.05616    2     8    4
    [9,]  25.713753899 306.64425    2     9    5
   [10,]  24.821118564 306.63972    2    10    4
   [11,]  29.066633977 306.74904    2    11    4
   [12,]  28.454254015 306.82125    2    12    5
   [13,]  26.892929735 306.86282    2    13    5
   [14,]  31.432035520 307.16628    2    14    4
   [15,]  34.850271257 307.02675    2    15    6
   [16,]  26.609134811 306.85567    2    16    4
   [17,]  21.775102636 306.87517    2    17    9
   [18,]  32.349532736 306.99456    2    18    4
   [19,]  25.219583042 306.54068    2    19    7
   [20,]  33.021069269 306.73888    2    20    4
   [21,]  27.945649544 306.98794    2    21    4
   [22,]  32.207130934 306.82360    2    22    4
   [23,]  24.688346153 306.85674    2    23    5
   [24,]  28.136210966 307.09365    2    24    5
   [25,]  31.732912416 306.97310    2    25    6
   [26,]  29.185308709 306.89277    2    26    4
   [27,]  27.518332235 306.81497    2    27    6
   [28,]  30.569739771 306.93906    2    28    4
   [29,]  28.701238728 306.46095    2    29    4
   [30,]  29.806631917 306.82003    2    30    5
   [31,]  30.557843313 307.04460    2    31    4
   [32,]  27.004811184 306.68712    2    32    5
   [33,]  32.755078177 307.14402    2    33    6
   [34,]  35.217292232 306.77501    2    34    7
   [35,]  28.331795957 306.74865    2    35    4
   [36,]  27.944980812 306.82107    2    36    4
   [37,]  31.012744230 306.80253    2    37    5
   [38,]  27.645351378 307.12991    2    38    5
   [39,]  30.257417066 306.82748    2    39    5
