4	3
1	1
1	0
2	1
1	0
2	1
1	0
2	1
2	0
1	1
2	0
1	1
2	0
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
1	1
1	0
1	1
1	0
1	1
1	1
2	1
1	1
2	1
1	0
1	1
1	0
1	1
1	0
1	1
1	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	0
2	1
1	0
2	1
1	0
2	1
2	0
2	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	1
1	1
2	1
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	0
1	1
1	0
1	1
1	0
1	1
1	1
1	1
2	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
1	1
1	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
2	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	0
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	0
1	1
1	0
1	1
1	0
1	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	1
2	1
1	0
1	1
1	0
1	1
1	0
1	1
1	0
1	1
2	1
1	0
2	1
7	2
4	2
3	2
4	2
4	2
4	2
4	1
4	2
4	1
4	3
4	2
3	3
4	2
3	2
4	2
7	1
2	0
1	1
2	0
1	1
1	0
2	1
1	0
2	1
1	0
2	1
1	0
