"V1" "V2" "V3"
"1" 127.313825355034 62.137909863806 1
"2" 123.288585703566 89.071493684486 1
"3" 120.12201502712 88.2779400773641 1
"4" 121.53332256818 84.9132705755549 1
"5" 119.8121917429 84.6590958128435 1
"6" 119.273964519782 82.9412428377932 1
"7" 118.690631366386 86.6384723379147 1
"8" 120.564144631815 82.4209042433312 1
"9" 119.214485328319 84.9842625551988 1
"10" 118.690238915079 84.8160265898809 1
"11" 128.153781397904 71.4083202017075 1
"12" 124.431069313401 76.1354416591339 1
"13" 121.496827742366 88.768126373974 1
"14" 130.857883090442 70.8754895341705 2
"15" 127.209829255812 62.1074133390597 2
"16" 127.763101432201 69.3390807981279 2
"17" 128.329170011943 71.6001986543612 2
"18" 128.723710476436 67.6874616498982 2
"19" 127.256597378006 71.9538105255268 2
"20" 128.885111973958 62.9958631518823 2
"21" 129.885282534024 67.3974296539456 2
"22" 124.029869236448 64.2286709482842 2
"23" 126.857481853494 71.7311960081422 2
"24" 128.021986741911 62.7198849903352 2
"25" 131.328840395565 66.2611248207724 2
"26" 121.484077437129 80.8346336059306 2
"27" 119.260842438573 83.2269891751614 2
"28" 117.15631010622 87.192902902145 2
"29" 115.616534324939 79.9831255725029 2
"30" 120.724631908025 82.5189836305606 2
"31" 119.125295072036 83.2564829352948 2
"32" 119.694456067507 88.015732838997 2
"33" 117.85880014944 83.7908312854992 2
"34" 118.502014416447 85.0799153323015 2
"35" 119.523444338484 88.0796113049933 2
"36" 118.692666958249 84.8710192315264 2
"37" 118.442997210176 82.3102621037394 2
"38" 122.118037842019 79.9005282945592 2
"39" 119.372277662258 84.3962617948603 2
"40" 119.494724485405 85.0336915608987 2
"41" 118.727425609856 85.097497501101 2
"42" 117.609651394599 87.5369699417163 2
"43" 119.494943375052 83.1014375774442 2
"44" 118.049848018508 84.4546162447265 2
"45" 118.685449916443 83.6658676384204 2
"46" 119.175925026978 84.4274579470733 2
"47" 123.205752179291 88.3507141303834 2
"48" 119.482320621376 83.1947298063065 2
"49" 119.054274042515 83.1435463214173 2
"50" 119.45568077317 86.7218257545211 2
"51" 118.398084722904 84.9556637255562 2
"52" 120.242976730064 85.6192273326347 2
"53" 120.082197858341 88.2487586555629 2
"54" 120.195697140445 82.0740129887745 2
"55" 119.394140031248 85.1108506966215 2
"56" 118.663021729447 86.6854974478652 2
"57" 120.830031902935 85.3250318698442 2
"58" 119.014818669637 81.9160951448836 2
"59" 121.328021260789 88.7328985577701 2
"60" 118.668422279402 85.0194249475755 2
"61" 121.068303198687 80.6782364878969 2
"62" 118.339016300399 82.9648785287652 2
"63" 120.269368188016 136.520605706278 2
"64" 118.950683397678 137.791936907543 2
"65" 120.662910492048 74.4526433372664 2
"66" 109.279598240017 102.804421814266 2
"67" 126.62220225111 89.3823673965197 2
"68" 118.699903140518 74.7467096663792 2
