332.0 233.36 154.0
332.0 252.38 154.0
332.0 237.98 117.0
332.0 240.0 165.0
349.0 253.78 159.0
349.0 247.16 145.0
349.0 235.12 107.0
349.0 253.12 165.0
353.0 264.92 152.0
360.0 277.7 185.0
364.0 274.34 177.0
364.0 285.54 181.0
364.0 295.46 201.0
364.0 306.88 144.0
374.0 308.52 187.0
374.0 318.12 189.0
381.0 324.12 217.0
382.0 319.64 205.0
382.0 322.42 215.0
382.0 332.16 220.0
382.0 337.78 207.0
382.0 348.6 283.0
382.0 350.56 256.0
387.0 355.84 291.0
387.0 356.0 249.0
387.0 359.86 305.0
387.0 358.5 303.0
389.0 357.76 276.0
390.0 356.58 277.0
390.0 357.76 290.0
390.0 357.48 277.0
390.0 351.54 283.0
390.0 354.18 279.0
390.0 354.92 245.0
390.0 362.28 261.0
390.0 357.22 257.0
390.0 356.2 246.0
390.0 355.0 259.0
390.0 343.68 259.0
390.0 342.16 231.0
390.0 342.18 229.0
390.0 340.12 254.0
390.0 332.38 247.0
390.0 338.46 262.0
390.0 332.58 241.0
390.0 337.98 241.0
390.0 338.8 242.0
390.0 335.7 210.0
392.0 348.94 262.0
392.0 356.44 285.0
392.0 367.62 278.0
393.0 366.04 318.0
393.0 354.84 280.0
393.0 357.8 266.0
393.0 361.02 268.0
393.0 366.48 287.0
393.0 364.44 309.0
393.0 355.72 250.0
393.0 342.74 231.0
393.0 356.02 227.0
393.0 350.88 266.0
393.0 353.22 269.0
393.0 357.02 271.0
393.0 362.12 275.0
393.0 358.58 280.0
393.0 349.3 285.0
393.0 358.92 290.0
393.0 353.5 280.0
393.0 353.46 271.0
393.0 367.38 320.0
393.0 368.12 314.0
393.0 367.5 319.0
393.0 362.22 305.0
393.0 359.56 310.0
393.0 352.82 298.0
393.0 359.08 286.0
393.0 356.44 294.0
393.0 361.14 279.0
394.0 358.96 298.0
394.0 348.94 285.0
394.0 344.98 263.0
394.0 350.14 253.0
394.0 348.5 249.0
394.0 349.96 242.0
394.0 354.7 311.0
394.0 351.38 286.0
394.0 349.98 286.0
394.0 343.5 278.0
394.0 343.2 250.0
394.0 338.38 261.0
394.0 327.54 220.0
394.0 338.54 194.0
394.0 340.02 223.0
394.0 331.52 220.0
394.0 330.6 211.0
394.0 324.7 196.0
394.0 329.56 195.0
394.0 320.96 190.0
394.0 326.14 210.0
394.0 328.0 207.0
394.0 330.82 244.0
394.0 331.66 195.0
394.0 351.4 235.0
394.0 359.56 252.0
394.0 364.06 304.0
394.0 352.24 265.0
394.0 354.12 228.0
394.0 347.68 251.0
394.0 347.56 275.0
394.0 345.34 240.0
394.0 342.4 235.0
394.0 345.62 269.0
394.0 332.92 215.0
394.0 333.86 181.0
394.0 355.98 281.0
394.0 364.88 317.0
394.0 360.86 299.0
394.0 358.78 306.0
394.0 353.96 285.0
394.0 354.54 304.0
394.0 344.08 256.0
394.0 351.54 282.0
394.0 353.92 284.0
394.0 358.98 259.0
394.0 358.4 262.0
394.0 364.04 299.0
394.0 363.9 317.0
394.0 363.64 291.0
394.0 354.68 270.0
394.0 357.68 284.0
394.0 362.06 294.0
394.0 358.64 296.0
394.0 356.12 266.0
394.0 354.8 244.0
394.0 360.74 275.0
394.0 360.18 309.0
394.0 367.26 299.0
394.0 364.22 303.0
