1	Tiempo: 0.000061
33	Tiempo: 0.000281
65	Tiempo: 0.001980
97	Tiempo: 0.003684
129	Tiempo: 0.015845
161	Tiempo: 0.020064
193	Tiempo: 0.029543
225	Tiempo: 0.045749
257	Tiempo: 0.073948
289	Tiempo: 0.106640
321	Tiempo: 0.150638
353	Tiempo: 0.195976
385	Tiempo: 0.262988
417	Tiempo: 0.339437
449	Tiempo: 0.417948
481	Tiempo: 0.550537
513	Tiempo: 0.639450
545	Tiempo: 0.803244
577	Tiempo: 0.993167
609	Tiempo: 1.315424
641	Tiempo: 1.562790
673	Tiempo: 1.950123
705	Tiempo: 2.308748
737	Tiempo: 2.802401
769	Tiempo: 3.348986
801	Tiempo: 4.060924
833	Tiempo: 4.536238
865	Tiempo: 5.092324
897	Tiempo: 5.716333
929	Tiempo: 6.474296
961	Tiempo: 7.225077
993	Tiempo: 8.055232
1025	Tiempo: 9.248381
