6820	1
16310	2
5420	7
7390	3
560	394
1010	124
58390	1
7600	2
1120	94
4280	11
24950	3
4470	4
17200	2
17900	4
10680	2
3600	6
9140	3
8270	2
1520	42
19190	1
8560	3
50	53794
5180	7
9000	3
52130	1
1790	16
21080	3
9660	1
11630	1
38770	3
1340	67
3610	8
7200	1
34670	3
5360	5
28860	1
4070	9
18060	3
420	811
1980	49
12970	2
45870	2
470	608
2190	16
7410	1
3220	14
930	132
4340	9
600	404
16040	2
6160	3
6870	8
42900	3
8690	1
5080	5
100	13316
1330	63
1140	121
1720	39
4690	4
28180	1
9080	2
6030	4
18050	3
30	140714
25920	2
6850	2
6910	3
2250	25
660	284
4650	5
7220	2
4950	1
5830	2
3000	23
910	93
5770	5
8110	4
7590	1
35350	2
120	8653
32880	2
2590	40
840	208
4060	9
17150	2
19810	2
3520	9
940	135
2970	21
27530	5
25010	1
15450	2
9540	2
630	290
14130	1
5440	1
3950	6
1990	31
20	317553
1710	42
7490	2
6260	3
1200	127
26150	3
12320	3
290	1357
9130	8
12830	3
2940	11
8860	2
3230	4
16840	1
13880	2
200	3256
14490	3
23580	1
1690	43
7070	2
22490	1
1490	47
3620	6
2410	40
4080	7
11920	2
8720	4
11300	1
5430	8
130	7040
1570	57
106450	2
27610	2
70780	2
1080	104
2850	6
163690	3
38150	3
10580	2
11490	1
42430	1
5070	7
14260	1
9940	1
21580	1
2350	24
6690	1
3940	9
1850	30
2010	56
1060	122
5850	6
6440	2
15370	3
3480	7
5200	5
29860	2
5620	7
6550	4
700	252
31670	1
45230	3
6000	2
8620	3
13270	3
11250	4
5840	12
4640	2
12710	3
9290	1
49810	1
2080	27
1680	48
8120	3
40570	3
2880	21
48590	3
3700	14
11760	3
1640	51
4770	7
54800	1
490	455
3180	9
950	105
6320	7
1940	26
1210	93
5940	2
5090	6
360	844
5240	5
1750	48
16080	1
37310	1
14230	2
6180	1
5660	1
33150	1
20120	3
5470	5
31500	4
670	211
1870	27
3800	8
8380	2
5730	3
3430	8
40	79154
13160	2
3670	1
2090	47
9420	4
49970	1
25800	4
11740	2
7950	3
580	383
9740	3
21880	2
13300	5
4620	8
3310	1
8700	4
4930	2
18160	1
3780	11
10100	3
25300	3
6460	6
450	596
9210	2
28590	1
400	780
15330	4
3390	11
8260	1
6540	1
11690	5
2580	25
5570	5
6960	8
10380	1
900	111
10630	1
3410	12
1000	119
6220	3
7730	1
7190	4
11930	3
12210	3
13590	2
41440	3
8070	2
9650	3
6250	12
8090	5
6480	1
4040	9
350	1123
5630	8
48670	1
55220	2
20910	2
7010	4
6010	2
7980	6
15170	2
55720	1
6600	10
17060	3
1450	54
4020	5
130490	3
1810	28
7670	5
2130	22
390	745
780	215
7820	6
2360	24
15830	1
6390	3
1840	28
6640	1
43530	1
3590	7
165460	1
5050	11
1500	50
5310	4
4740	4
4730	4
2390	19
9110	1
4370	2
103510	1
23990	1
1310	29
5550	9
17980	2
2780	18
113400	1
15950	3
6590	1
1400	48
14580	4
3840	5
64200	2
36590	3
190	3297
3470	7
13080	1
850	192
2230	11
6450	3
2380	26
8190	1
